product_pid,transaction_date,uv_fundown,uv_stableown,uv_fundopt,uv_fundmarket,uv_termmarket,apply_amt_trend,apply_amt_residual,redeem_amt_trend,redeem_amt_residual,yield,day_of_week,is_month_end,quarter
1,2022-11-10,14199628.12313638,11652224.135006623,34006641.84378901,42651.027895260006,25150361.833997965,0.3752396921518024,-0.0365059627364614,0.0119286832345588,-0.0014625766732644,0.0205,3,0,4
1,2022-11-11,13454363.353315894,11168208.169932082,32063346.955503598,39596.06071561201,24637988.081201863,0.3781201012229169,0.0162144084615643,0.0119899287478905,-0.0049035124208687,0.0197,4,0,4
1,2022-11-12,14082699.35744572,11262015.097334102,37022761.76703088,39104.23206460176,25045599.661907323,0.3810101952417568,0.0040676074007374,0.0120510244048534,8.806018169979209e-05,0.021,0,0,4
1,2022-11-13,14532418.776758436,11659726.246204255,38351731.07478871,38534.55740107865,25833533.09532674,0.3838903726401581,0.0265073876980851,0.0121122861499093,0.0018817678927778,0.0204,0,0,4
1,2022-11-14,14684857.608546466,12250511.92669078,36187514.39665377,38298.36441874942,26987379.18871621,0.3867604617654941,0.0370102487513044,0.0121737173447362,-0.0019595771790099,0.0199,0,0,4
1,2022-11-15,14659555.435572214,11901383.050445102,36036674.18050951,37316.56454443641,25310242.666245963,0.3896407877122435,-0.031086727697061,0.0122349933068625,-0.0015174380546911,0.0194,1,0,4
1,2022-11-16,14022071.399501728,11052220.209226184,33985007.27933912,38694.19857710578,23558072.967201605,0.3925207593126144,0.0350972280410514,0.0122962426036721,-0.003287862213174,0.0203,2,0,4
1,2022-11-17,12700207.342293646,9793601.289099984,30652048.67794595,37864.10228484818,20906893.57738152,0.3954009338977812,-0.3293390320030995,0.0123575154505429,-0.0017474730355907,0.0206,3,0,4
1,2022-11-18,12276170.615353756,9588784.77544053,29608102.9669082,35669.426465043965,20762293.00580468,0.3982813429688964,-0.0649662092630629,0.0124187609638746,-0.0018905943799346,0.0198,4,0,4
1,2022-11-19,12946395.99243947,9642562.626733964,34756193.79750944,34333.66563899412,20842684.06614109,0.401171436987736,0.009929876148698,0.0124798566208375,-0.0108739898655819,0.0201,0,0,4
1,2022-11-20,12957626.750632346,9575226.6281836,35087632.87713918,31660.45701319678,20564718.650795605,0.4040516143861375,0.0165434231599911,0.0125411183658934,0.0060750103183453,0.0188,0,0,4
1,2022-11-21,12372437.3179059,9513351.779981997,31227569.22114253,29127.436258657577,20468190.47896405,0.4069217035114729,0.028960313015066,0.0126025495607203,-0.0052874557982766,0.192,0,0,4
1,2022-11-22,11723940.1620701,8701301.82979127,29711026.30030803,26396.71887830301,18043336.95738034,0.4098020294582229,0.0212377282977036,0.0126638255228466,-0.0042839663773103,0.01997,1,0,4
1,2022-11-23,10869825.359731149,7772240.411567093,27286831.063524425,26571.35613590727,16283829.188352443,0.4126820010585931,-0.1232427511322809,0.0127250748196561,0.0104982679418585,0.02023,2,0,4
100,2022-11-10,150751808.59245658,14242276.167610228,94493278.71797918,179582.0913362512,-1180039567.6367264,-0.67558156591151,1.524975817499698,0.0262904578459319,0.2401309449902845,0.0205,3,0,4
100,2022-11-11,153971514.9406348,12136165.47244379,91725203.9223591,157342.82094910386,-1119807819.973007,-0.6868301625450819,1.524975817499698,0.016743142247477,0.7632624415739651,0.0197,4,0,4
100,2022-11-12,70682728.06602424,-2674851.362158552,50683080.68178943,21083.20379068161,-951838191.7764164,-0.6996300383477938,-0.4026865652176713,0.0070555035807748,-0.0508200311044413,0.021,0,0,4
